Date,Open,High,Low,Close,Volume
05/19/2023,"5.27","5.33","5.13","5.14","391,743"
05/18/2023,"5.16","5.26","5.12","5.21","360,893"
05/17/2023,"5.23","5.31","5.18","5.28","381,036"
05/16/2023,"5.26","5.31","5.16","5.19","490,761"
05/15/2023,"5.24","5.37","5.19","5.35","636,052"
05/12/2023,"5.28","5.34","5.19","5.21","317,148"
05/11/2023,"5.09","5.26","5.06","5.25","489,960"
05/10/2023,"5.22","5.23","5.10","5.13","443,053"
05/09/2023,"5.15","5.26","5.07","5.14","492,349"
05/08/2023,"5.14","5.29","5.06","5.19","670,785"
05/05/2023,"4.87","5.14","4.82","5.11","972,551"
05/04/2023,"4.38","4.42","4.30","4.42","551,537"
05/03/2023,"4.44","4.56","4.42","4.42","470,649"
05/02/2023,"4.55","4.55","4.36","4.41","861,888"
05/01/2023,"4.59","4.63","4.50","4.53","421,261"
04/28/2023,"4.44","4.63","4.44","4.58","669,619"
04/27/2023,"4.42","4.48","4.36","4.46","781,299"
04/26/2023,"4.48","4.54","4.32","4.39","864,096"
04/25/2023,"4.71","4.71","4.51","4.53","485,590"
04/24/2023,"4.85","4.86","4.74","4.76","530,986"
04/21/2023,"4.91","4.93","4.79","4.84","421,262"
04/20/2023,"4.97","5.00","4.86","4.91","448,233"
04/19/2023,"5.02","5.06","4.99","5.01","346,543"
04/18/2023,"5.10","5.13","5.04","5.05","379,050"
04/17/2023,"5.10","5.15","5.04","5.09","530,986"
04/14/2023,"5.19","5.26","5.04","5.09","541,147"
04/13/2023,"5.17","5.26","5.12","5.21","393,985"
04/12/2023,"5.27","5.27","5.12","5.15","431,470"
04/11/2023,"5.13","5.31","5.12","5.21","630,763"
04/10/2023,"5.02","5.18","5.00","5.09","534,939"
04/06/2023,"5.02","5.04","4.96","5.02","538,963"
04/05/2023,"5.04","5.15","4.98","4.98","508,582"
04/04/2023,"5.39","5.39","5.09","5.10","762,563"
04/03/2023,"5.34","5.41","5.28","5.39","947,906"
03/31/2023,"5.24","5.32","5.24","5.32","726,741"
03/30/2023,"5.26","5.28","5.20","5.23","351,285"
03/29/2023,"5.21","5.28","5.19","5.23","538,459"
03/28/2023,"5.14","5.21","5.10","5.19","862,180"
03/27/2023,"5.03","5.20","5.03","5.15","901,729"
03/24/2023,"4.95","5.00","4.89","4.95","550,883"
03/23/2023,"5.05","5.16","4.93","4.99","778,830"
03/22/2023,"4.97","5.18","4.87","5.05","1,030,130"
03/21/2023,"4.85","5.02","4.85","4.86","657,927"
03/20/2023,"4.90","4.99","4.76","4.77","858,987"
03/17/2023,"5.06","5.06","4.80","4.88","1,756,312"
03/16/2023,"5.02","5.18","4.96","5.09","643,643"
03/15/2023,"5.00","5.12","4.97","5.09","609,475"
03/14/2023,"5.19","5.31","5.11","5.14","697,932"
03/13/2023,"5.16","5.22","5.04","5.06","706,141"
03/10/2023,"5.33","5.46","5.27","5.31","576,485"
03/09/2023,"5.39","5.42","5.30","5.30","409,642"
03/08/2023,"5.38","5.47","5.33","5.44","479,371"
03/07/2023,"5.40","5.48","5.31","5.38","589,894"
03/06/2023,"5.70","5.71","5.34","5.39","960,702"
03/03/2023,"5.62","5.73","5.61","5.71","369,478"
03/02/2023,"5.53","5.64","5.51","5.61","473,566"
03/01/2023,"5.65","5.71","5.52","5.55","864,846"
02/28/2023,"5.64","5.71","5.61","5.67","752,996"
02/27/2023,"5.46","5.81","5.45","5.67","1,227,078"
02/24/2023,"5.50","5.70","5.26","5.39","702,206"
02/23/2023,"5.65","5.72","5.61","5.67","383,816"
02/22/2023,"5.53","5.68","5.51","5.59","430,453"
02/21/2023,"5.79","5.79","5.52","5.52","660,786"
02/17/2023,"5.87","5.91","5.80","5.85","503,502"
02/16/2023,"5.60","5.86","5.58","5.83","625,903"
02/15/2023,"5.72","5.74","5.55","5.66","683,824"
02/14/2023,"6.29","6.31","5.70","5.80","970,088"
02/13/2023,"6.25","6.37","6.21","6.34","397,191"
02/10/2023,"6.26","6.29","6.22","6.24","367,939"
02/09/2023,"6.37","6.40","6.30","6.30","346,292"
02/08/2023,"6.35","6.38","6.31","6.32","287,131"
02/07/2023,"6.30","6.42","6.26","6.40","320,774"
02/06/2023,"6.38","6.38","6.31","6.34","486,971"
02/03/2023,"6.44","6.55","6.42","6.42","406,350"
02/02/2023,"6.48","6.62","6.48","6.51","546,427"
02/01/2023,"6.35","6.53","6.32","6.45","441,410"
01/31/2023,"6.14","6.37","6.13","6.35","523,824"
01/30/2023,"6.15","6.24","6.12","6.14","288,934"
