Date,Open,High,Low,Close,Volume
03/03/2023,"18.19","19.10","18.10","18.70","2,505,515"
03/02/2023,"18.15","18.40","17.62","18.19","2,627,304"
03/01/2023,"18.92","19.09","18.14","18.15","4,210,100"
02/28/2023,"19.06","19.52","18.95","19.23","3,373,826"
02/27/2023,"19.61","19.70","18.89","19.10","4,006,677"
02/24/2023,"19.71","20.08","19.54","19.54","2,277,573"
02/23/2023,"20.66","20.87","19.53","20.14","2,862,036"
02/22/2023,"20.53","21.19","20.33","20.52","2,164,879"
02/21/2023,"21.33","21.83","20.63","20.66","3,100,309"
02/17/2023,"21.27","22.07","21.15","21.99","2,850,979"
02/16/2023,"21.25","22.42","20.85","21.60","3,879,046"
02/15/2023,"19.80","21.80","19.59","21.80","7,147,319"
02/14/2023,"19.31","20.01","19.10","19.87","2,746,308"
02/13/2023,"19.30","19.94","19.01","19.69","2,299,304"
02/10/2023,"19.56","20.04","19.05","19.27","2,902,678"
02/09/2023,"21.25","21.65","19.67","19.67","4,497,399"
02/08/2023,"21.43","21.55","20.61","21.10","2,846,425"
02/07/2023,"23.00","23.05","20.50","21.22","9,093,668"
02/06/2023,"21.88","24.88","21.77","23.86","8,708,367"
02/03/2023,"22.01","23.93","21.80","22.25","4,935,949"
02/02/2023,"22.44","24.40","22.22","22.70","7,655,658"
02/01/2023,"21.49","22.12","20.55","21.83","4,517,191"
01/31/2023,"21.41","22.05","21.30","21.87","3,128,376"
01/30/2023,"22.50","23.48","21.13","21.25","4,950,563"
01/27/2023,"19.80","23.31","19.41","22.82","11,897,250"
01/26/2023,"20.61","21.17","19.38","20.01","3,519,973"
01/25/2023,"20.59","20.84","19.53","20.23","3,515,791"
01/24/2023,"21.30","22.09","21.00","21.40","2,381,588"
01/23/2023,"19.50","22.49","19.37","21.66","7,181,508"
01/20/2023,"19.05","20.07","18.90","19.61","3,564,322"
01/19/2023,"20.44","20.45","18.82","19.04","4,519,163"
01/18/2023,"22.01","22.15","20.50","20.79","5,632,161"
01/17/2023,"20.49","21.94","20.37","21.80","5,407,905"
01/13/2023,"19.88","21.11","19.80","20.49","5,494,405"
01/12/2023,"19.04","20.63","18.34","20.63","5,877,276"
01/11/2023,"18.19","20.05","17.86","19.04","8,405,821"
01/10/2023,"16.30","18.09","16.25","17.77","4,402,799"
01/09/2023,"16.65","17.13","16.36","16.38","3,522,596"
01/06/2023,"16.00","16.57","15.41","16.46","4,823,357"
01/05/2023,"17.06","17.26","15.89","16.22","6,066,158"
01/04/2023,"17.25","17.93","16.90","17.32","3,939,325"
01/03/2023,"18.64","19.26","17.09","17.20","5,135,191"
12/30/2022,"17.95","18.58","17.90","18.46","2,669,548"
12/29/2022,"18.12","18.57","17.75","18.33","3,442,757"
12/28/2022,"18.29","18.70","16.98","17.92","5,671,992"
12/27/2022,"19.91","19.99","18.00","18.20","4,233,045"
12/23/2022,"20.00","20.63","19.65","20.08","3,174,827"
12/22/2022,"20.50","20.50","18.50","19.81","5,343,087"
12/21/2022,"20.40","20.90","20.18","20.56","2,793,559"
12/20/2022,"19.86","21.32","19.62","20.26","4,478,987"
12/19/2022,"20.55","20.89","19.59","19.92","3,700,556"
12/16/2022,"20.48","21.12","20.01","20.80","9,379,717"
12/15/2022,"20.74","21.44","20.24","20.58","6,444,512"
12/14/2022,"21.19","22.00","21.01","21.05","4,604,808"
12/13/2022,"23.55","23.70","20.83","21.00","6,305,646"
12/12/2022,"22.66","23.15","22.18","22.67","3,750,805"
12/09/2022,"24.59","24.59","22.59","22.63","5,326,676"
12/08/2022,"22.00","25.00","21.97","24.79","10,252,000"
12/07/2022,"23.40","23.61","21.97","22.26","10,078,220"
12/06/2022,"25.41","25.58","23.11","23.39","7,699,321"
12/05/2022,"27.31","27.48","25.44","25.56","4,973,747"
12/02/2022,"26.25","27.87","26.11","27.52","4,577,177"
12/01/2022,"26.00","27.50","25.18","26.60","7,615,154"
11/30/2022,"25.90","26.23","24.91","26.21","3,731,072"
11/29/2022,"25.58","26.35","25.32","25.60","2,029,480"
11/28/2022,"25.79","26.44","25.21","25.29","2,453,744"
11/25/2022,"26.50","27.05","26.14","26.17","1,122,700"
11/23/2022,"25.92","27.14","25.92","26.70","2,737,491"
11/22/2022,"25.13","26.45","24.70","26.30","4,240,402"
11/21/2022,"26.66","27.83","24.86","25.16","4,443,252"
11/18/2022,"28.16","28.70","26.83","27.60","3,087,420"
11/17/2022,"26.30","27.76","26.15","27.76","2,477,693"
11/16/2022,"26.62","27.35","26.37","27.14","2,452,335"
11/15/2022,"26.59","28.24","26.27","27.59","5,391,975"
11/14/2022,"26.30","27.38","25.61","26.05","4,350,537"
11/11/2022,"24.78","26.12","24.15","26.10","3,986,182"
11/10/2022,"24.62","25.70","23.91","24.88","6,106,952"
